idx,words,lid,sa
0,"['After' 'this' 'I' ""'m"" 'just' 'gonna' 'go' 'home' 'drink' 'summ' 'hot'
 'chocolate' 'con' 'bolillo' 'and' 'sleep']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'ambiguous' 'lang2' 'lang2' 'lang1' 'lang1']",positive
1,['Eating' 'a' 'good' 'as' 'posole' 'ha'],['lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'ambiguous'],positive
2,"['Dale' 'mijo' ',' 'no' 'cop' 'no' 'stop']",['lang2' 'lang2' 'other' 'lang2' 'ambiguous' 'lang2' 'lang1'],neutral
3,"['Damn' 'I' 'love' 'listening' 'to' 'los' 'cardenales' 'de' 'nuevo' 'leon'
 'y' 'el' 'poder' 'del' 'norte' 'at' 'night']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1']",positive
4,"['I' ""'m"" 'pretty' 'happy' 'phone' 'is' 'finally' 'recognizing' 'the'
 'Spanish' 'words' 'I' 'use' 'with' 'the' 'swipe' 'mode' 'on' 'jaja']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang2']",positive
5,"['@PresshDestiny' 'mmmmm' 'never' 'been' 'to' 'a' 'bonfire' '...' 'I'
 'prefer' 'carne' 'asada' 'jajaja']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang2' 'lang2' 'ambiguous']",positive
6,"['Then' 'again' 'I' 'just' 'stood' 'up' 'and' 'I' 'might' 'still' 'be'
 'Lil' 'tipsy' 'jajaj']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang2']",positive
7,"['Last' 'night' 'once' 'we' 'all' 'finished' 'eating' 'our' 'grapes' 'we'
 'all' 'took' 'a' 'shot' 'of' 'tequila' 'lol']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1']",positive
8,"['@PresshDestiny' 'jaja' 'I' 'know' 'you' ""'re"" 'not' 'you' ""'re"" 'one'
 'in' 'a' 'billion' 'precious(' '=' 'and' 'your' 'mom' 'would' 'call'
 'you' 'callejera' 'for' 'shopping' '?' 'Lol' 'that' ""'s"" 'funy']","['other' 'ambiguous' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1']",positive
9,"['@Elmagnet_21' 'allright' 'si' 'no' 'ya' 'sabe' 'las' 'consequencias'
 '!!' 'Eh' 'haha']","['other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'ambiguous' 'lang2']",positive
10,"['@Elmagnet_21' 'mmm' 'hasta' 'de' 'beso' 'me' 'saludo' 'i' 'wass' 'like'
 'omg' 'omg' 'lol' 'jk' 'jk']","['other' 'ambiguous' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']",positive
11,"['Maury' 'bien' 'happy' 'with' 'his' 'present' 'que' 'le' 'regalo' 'su'
 'Padrino' 'Oscar' '!' '#futuremusico']","['ne' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'ne' 'ne' 'other' 'mixed']",positive
12,"['Cuando' 'Mis' 'parents' 'me' 'dejan' 'ir' 'el' 'date' 'me' 'Keda' 'Mal'
 '/' '.' '-' 'No' 'MAMEN']","['lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'ambiguous' 'lang2' 'lang2' 'other' 'other' 'other' 'lang2' 'lang2']",negative
13,"['@brissamayen' 'Gracias' 'that' 'means' 'a' 'lot' ':)' '&' 'tbh' 'luck'
 'has' 'nothin' '2' 'do' 'w/' 'it' ',' 'its' 'all' 'Love' ',' 'Strength'
 ',' '&' 'Dedication' ',' 'Sin' 'eso' 'el' '♥' 'no' 'es' 'nada' '!']","['other' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other'
 'ambiguous' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other' 'other' 'lang1'
 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other']",positive
